LoanStatus,LenderYield,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),Occupation,EmploymentStatus,IsBorrowerHomeowner,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,IncomeRange,TotalProsperLoans,OnTimeProsperPayments,BorrowerState
Chargedoff,0.2187,3.0,2.0,3,Truck Driver,Self-employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,28.0,CO
Current,0.1519,5.0,6.0,1,Other,Employed,False,1.0,134.0,0.0,"$50,000-74,999",1.0,5.0,IL
Completed,0.1134,4.0,9.0,1,Police Officer/Correction Officer,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",1.0,22.0,IL
Completed,0.3,1.0,5.0,7,Nurse (RN),Full-time,True,1.0,71.0,0.0,"$50,000-74,999",1.0,4.0,PA
Current,0.1669,5.0,6.0,1,Construction,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,12.0,LA
Current,0.1264,6.0,8.0,11,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,24.0,MD
Defaulted,0.2899,2.0,3.0,6,Military Enlisted,Employed,True,2.0,1890.0,23.0,"$25,000-49,999",1.0,3.0,KY
Past Due (1-15 days),0.2899,2.0,3.0,2,Other,Other,False,0.0,0.0,20.0,"$1-24,999",1.0,10.0,KY
Completed,0.0612,7.0,10.0,6,Professional,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,OK
Current,0.2404,2.0,2.0,1,Professional,Employed,True,0.0,0.0,23.0,"$75,000-99,999",1.0,1.0,NY
Completed,0.173,5.0,7.0,3,Computer Programmer,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,4.0,CA
Current,0.0709,7.0,11.0,6,Tradesman - Mechanic,Employed,False,1.0,15599.0,5.0,"$75,000-99,999",1.0,15.0,OR
Current,0.0764,7.0,10.0,1,Teacher,Employed,False,0.0,0.0,0.0,"$75,000-99,999",3.0,46.0,MS
Current,0.1369,5.0,6.0,7,Social Worker,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,14.0,GA
Defaulted,0.2973,2.0,1.0,2,Postal Service,Employed,True,1.0,0.0,0.0,"$50,000-74,999",1.0,1.0,MN
Current,0.0989,6.0,8.0,7,Attorney,Employed,True,0.0,0.0,15.0,"$50,000-74,999",1.0,6.0,LA
Current,0.1579,5.0,4.0,14,Other,Other,True,0.0,0.0,0.0,"$50,000-74,999",1.0,12.0,OH
Current,0.1485,4.0,8.0,2,Sales - Commission,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,30.0,NJ
Completed,0.2475,3.0,8.0,7,Professional,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,31.0,NY
Chargedoff,0.1459,5.0,4.0,1,Other,Self-employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,12.0,WA
Current,0.1234,6.0,8.0,2,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",3.0,27.0,NC
Current,0.1839,4.0,6.0,18,Nurse (RN),Employed,True,2.0,14639.0,22.0,"$100,000+",1.0,9.0,CA
Current,0.2246,3.0,6.0,2,Other,Other,False,1.0,188.0,0.0,"$25,000-49,999",1.0,9.0,FL
Completed,0.0799,6.0,8.0,7,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,18.0,NY
Completed,0.312,2.0,5.0,1,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,28.0,FL
Current,0.2832,2.0,2.0,14,Truck Driver,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,12.0,FL
Completed,0.191,4.0,10.0,1,Administrative Assistant,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,16.0,FL
Current,0.1039,6.0,10.0,1,Clerical,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,26.0,NY
Current,0.0934,6.0,7.0,6,Professional,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,3.0,NY
Completed,0.3395,1.0,5.0,1,Other,Full-time,False,1.0,103.0,0.0,"$25,000-49,999",1.0,34.0,OH
Current,0.1255,5.0,11.0,1,Other,Full-time,False,0.0,0.0,0.0,"$75,000-99,999",3.0,74.0,MA
Current,0.1264,6.0,9.0,15,Scientist,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,13.0,NC
Completed,0.3077,1.0,1.0,18,Engineer - Mechanical,Employed,True,2.0,0.0,0.0,"$75,000-99,999",1.0,9.0,CA
Chargedoff,0.1774,4.0,4.0,15,Accountant/CPA,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,NC
Chargedoff,0.2187,3.0,5.0,1,Other,Full-time,False,0.0,0.0,0.0,"$1-24,999",1.0,12.0,KY
Current,0.2099,3.0,4.0,7,Computer Programmer,Employed,True,2.0,8040.0,10.0,"$75,000-99,999",1.0,32.0,CT
Current,0.2187,3.0,7.0,11,Professional,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,TX
Current,0.1419,5.0,7.0,18,Professional,Employed,False,0.0,0.0,6.0,"$50,000-74,999",4.0,16.0,MI
Current,0.0864,6.0,9.0,1,Analyst,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,10.0,IL
Current,0.1365,5.0,9.0,1,Professional,Employed,False,0.0,0.0,21.0,"$75,000-99,999",1.0,2.0,CA
Current,0.2899,2.0,1.0,18,Other,Self-employed,False,3.0,10970.0,12.0,"$1-24,999",1.0,35.0,NJ
Current,0.1634,4.0,2.0,2,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,CT
Current,0.1634,4.0,4.0,2,Retail Management,Self-employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,34.0,KS
Current,0.0749,7.0,10.0,13,Waiter/Waitress,Employed,False,0.0,0.0,3.0,"$50,000-74,999",1.0,2.0,NY
Current,0.1669,5.0,6.0,2,Tradesman - Electrician,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,27.0,CT
Current,0.2343,4.0,4.0,7,Executive,Employed,True,2.0,2643.0,27.0,"$100,000+",1.0,12.0,MN
Completed,0.33,1.0,2.0,3,Truck Driver,Self-employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,27.0,CO
Completed,0.2799,2.0,3.0,1,Clerical,Full-time,False,1.0,160.0,20.0,"$25,000-49,999",2.0,54.0,CA
Current,0.3025,1.0,1.0,1,Bus Driver,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,33.0,CA
Defaulted,0.25,1.0,6.0,1,Other,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",3.0,63.0,MO
Defaulted,0.1802,4.0,5.0,1,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,5.0,KS
Chargedoff,0.2869,2.0,3.0,15,Professional,Full-time,False,11.0,18536.0,21.0,"$50,000-74,999",3.0,50.0,FL
Current,0.1199,6.0,6.0,18,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,7.0,IL
Chargedoff,0.315,3.0,7.0,2,Architect,Full-time,True,0.0,0.0,7.0,"$75,000-99,999",1.0,32.0,NY
Completed,0.3204,2.0,3.0,1,Computer Programmer,Employed,True,0.0,0.0,15.0,"$75,000-99,999",3.0,33.0,MI
Completed,0.101,6.0,8.0,1,Computer Programmer,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",4.0,34.0,IL
Current,0.2975,1.0,2.0,7,Food Service,Employed,False,0.0,0.0,0.0,"$50,000-74,999",2.0,21.0,SC
Defaulted,0.3034,1.0,3.0,13,Other,Other,False,1.0,221.0,0.0,"$1-24,999",1.0,19.0,GA
Current,0.1099,6.0,7.0,20,Clerical,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,38.0,GA
Current,0.0769,7.0,10.0,6,Civil Service,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,15.0,MD
Chargedoff,0.264,3.0,6.0,3,Executive,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",1.0,27.0,TN
Current,0.0799,6.0,8.0,1,Professional,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,7.0,NY
Completed,0.1509,5.0,5.0,1,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",3.0,42.0,VA
Current,0.1479,5.0,5.0,13,Skilled Labor,Employed,True,0.0,0.0,4.0,"$50,000-74,999",1.0,9.0,CT
Current,0.1169,6.0,9.0,1,Doctor,Employed,True,1.0,75.0,0.0,"$100,000+",2.0,39.0,VA
Completed,0.1349,5.0,6.0,15,Police Officer/Correction Officer,Full-time,True,2.0,29487.0,17.0,"$25,000-49,999",1.0,35.0,WA
Current,0.0699,7.0,10.0,20,Other,Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,34.0,TX
Current,0.1124,5.0,11.0,1,Other,Employed,False,0.0,0.0,0.0,"$100,000+",2.0,61.0,NY
Current,0.2957,2.0,3.0,14,Other,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",2.0,39.0,OH
Current,0.14,5.0,11.0,1,Analyst,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,6.0,CA
Chargedoff,0.2,1.0,5.0,7,Sales - Commission,Full-time,False,1.0,931.0,0.0,"$25,000-49,999",1.0,23.0,OK
Current,0.0849,6.0,10.0,1,Analyst,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,8.0,CA
Current,0.0999,6.0,9.0,6,Teacher's Aide,Employed,False,0.0,0.0,0.0,"$50,000-74,999",3.0,95.0,MS
Completed,0.1179,5.0,4.0,15,Executive,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",3.0,56.0,TN
Current,0.2686,2.0,2.0,2,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,7.0,GA
Current,0.163,4.0,8.0,14,Truck Driver,Self-employed,False,0.0,0.0,0.0,"$100,000+",2.0,63.0,WI
Current,0.2246,3.0,4.0,1,Religious,Employed,True,1.0,36.0,3.0,"$50,000-74,999",2.0,53.0,SC
Completed,0.2474,3.0,4.0,1,Truck Driver,Employed,False,1.0,89.0,0.0,"$25,000-49,999",2.0,48.0,CO
Completed,0.2099,3.0,2.0,18,Other,Employed,True,1.0,0.0,6.0,"$50,000-74,999",2.0,7.0,TX
Completed,0.25,1.0,5.0,2,Engineer - Mechanical,Full-time,True,0.0,0.0,1.0,"$25,000-49,999",1.0,8.0,IN
Current,0.2018,4.0,7.0,13,Professional,Full-time,False,0.0,0.0,0.0,"$50,000-74,999",1.0,9.0,FL
Current,0.1039,6.0,10.0,1,Executive,Employed,False,1.0,494.0,10.0,"$50,000-74,999",3.0,66.0,PA
Completed,0.2862,2.0,6.0,1,Truck Driver,Employed,False,1.0,770.0,19.0,"$25,000-49,999",2.0,25.0,FL
Completed,0.1029,6.0,8.0,1,Clerical,Employed,True,1.0,110.0,0.0,"$50,000-74,999",1.0,2.0,IL
Current,0.2832,2.0,4.0,1,Professional,Employed,False,0.0,0.0,0.0,"$75,000-99,999",2.0,18.0,NY
Current,0.2466,3.0,2.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,50.0,GA
Current,0.0749,7.0,10.0,1,Analyst,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,10.0,CA
Current,0.1399,6.0,7.0,1,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,TX
Completed,0.0874,6.0,8.0,1,Other,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,6.0,NY
Chargedoff,0.2625,3.0,6.0,1,Other,Part-time,True,0.0,0.0,1.0,"$25,000-49,999",1.0,27.0,OR
Current,0.2532,3.0,4.0,1,Clergy,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,9.0,GA
Completed,0.3025,1.0,1.0,3,Other,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,4.0,MO
Current,0.0779,6.0,8.0,2,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,28.0,TX
Current,0.0599,7.0,10.0,1,Engineer - Mechanical,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",3.0,32.0,MO
Current,0.152,4.0,8.0,15,Executive,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,0.0,NJ
Current,0.2572,3.0,2.0,1,Other,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,7.0,NE
Completed,0.189,4.0,9.0,2,Other,Retired,True,0.0,0.0,2.0,"$50,000-74,999",1.0,33.0,FL
Completed,0.0769,7.0,10.0,1,Analyst,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,28.0,NJ
Current,0.2999,2.0,4.0,3,Professional,Employed,False,1.0,124.0,2.0,"$50,000-74,999",1.0,12.0,FL
Past Due (61-90 days),0.1285,6.0,8.0,7,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,7.0,GA
Current,0.1139,6.0,9.0,1,Other,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,DC
Current,0.1419,5.0,6.0,2,Skilled Labor,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,4.0,MD
Current,0.2187,3.0,2.0,1,Other,Employed,True,2.0,7951.0,6.0,"$50,000-74,999",1.0,6.0,CA
Current,0.0999,6.0,11.0,2,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",4.0,76.0,CA
Current,0.1719,5.0,5.0,9,Professional,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,MN
Completed,0.0614,7.0,10.0,1,Administrative Assistant,Part-time,False,0.0,0.0,0.0,"$1-24,999",1.0,6.0,FL
Current,0.3204,2.0,2.0,2,Nurse's Aide,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",3.0,46.0,MI
Completed,0.1265,5.0,8.0,3,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,35.0,GA
Completed,0.34,1.0,5.0,1,Tradesman - Mechanic,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,12.0,MO
Chargedoff,0.1409,5.0,6.0,1,Police Officer/Correction Officer,Employed,False,1.0,99.0,0.0,"$25,000-49,999",3.0,12.0,IL
Completed,0.0699,7.0,10.0,1,Other,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,20.0,GA
Current,0.0999,6.0,8.0,1,Other,Employed,True,1.0,117.0,8.0,"$50,000-74,999",1.0,9.0,IL
Completed,0.2271,4.0,9.0,1,Computer Programmer,Full-time,False,0.0,0.0,0.0,"$75,000-99,999",1.0,13.0,CA
Completed,0.0799,6.0,8.0,2,Police Officer/Correction Officer,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,16.0,NC
Completed,0.1204,4.0,2.0,1,Accountant/CPA,Employed,True,3.0,33376.0,16.0,"$25,000-49,999",2.0,67.0,CA
Completed,0.189,4.0,9.0,1,Analyst,Full-time,True,0.0,0.0,8.0,"$50,000-74,999",1.0,16.0,NE
Completed,0.1199,6.0,7.0,1,Truck Driver,Self-employed,False,0.0,0.0,3.0,"$100,000+",1.0,13.0,CA
Completed,0.2973,2.0,3.0,1,Sales - Commission,Employed,True,13.0,4650.0,14.0,"$25,000-49,999",3.0,13.0,VA
Completed,0.19,1.0,5.0,1,Professional,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,20.0,AK
Current,0.1214,5.0,11.0,1,Computer Programmer,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,7.0,WI
Current,0.1069,6.0,10.0,3,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,1.0,GA
Current,0.1799,4.0,6.0,1,Executive,Full-time,True,0.0,0.0,0.0,"$100,000+",1.0,11.0,IN
Current,0.1234,6.0,8.0,1,Professional,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,14.0,KS
Current,0.152,4.0,9.0,1,Nurse (RN),Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,20.0,NY
Chargedoff,0.2224,3.0,3.0,7,Professional,Employed,True,2.0,443.0,0.0,"$50,000-74,999",1.0,10.0,OH
Completed,0.1069,6.0,9.0,1,Sales - Commission,Self-employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,7.0,NY
Current,0.0874,6.0,8.0,1,Professional,Employed,False,0.0,0.0,13.0,"$100,000+",2.0,29.0,CA
Current,0.1139,6.0,11.0,1,Professional,Employed,False,0.0,0.0,0.0,"$50,000-74,999",1.0,3.0,TX
Current,0.1259,5.0,6.0,1,Administrative Assistant,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,4.0,MN
Current,0.187,4.0,7.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",4.0,51.0,CO
Current,0.1579,5.0,6.0,15,Administrative Assistant,Full-time,False,0.0,0.0,22.0,"$25,000-49,999",2.0,34.0,CA
Current,0.1599,5.0,5.0,15,Administrative Assistant,Employed,False,1.0,63.0,0.0,"$50,000-74,999",2.0,25.0,NJ
Completed,0.267,2.0,1.0,19,Other,Employed,True,1.0,0.0,8.0,"$50,000-74,999",1.0,2.0,TX
Current,0.2332,3.0,4.0,1,Construction,Employed,False,2.0,426.0,3.0,"$25,000-49,999",2.0,20.0,MS
Current,0.1214,5.0,11.0,3,Other,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,18.0,VA
Current,0.1499,5.0,6.0,9,Other,Employed,False,0.0,0.0,0.0,"$100,000+",1.0,34.0,CA
Chargedoff,0.2299,3.0,4.0,7,Nurse (LPN),Full-time,True,4.0,9778.0,15.0,"$25,000-49,999",2.0,67.0,OH
Completed,0.2799,2.0,2.0,1,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,8.0,CA
Current,0.1039,6.0,11.0,2,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,38.0,AL
Current,0.2975,1.0,3.0,1,Other,Employed,True,0.0,0.0,0.0,"$75,000-99,999",1.0,23.0,LA
Current,0.0874,6.0,8.0,1,Medical Technician,Employed,False,0.0,0.0,0.0,"$25,000-49,999",2.0,22.0,CA
Current,0.0864,6.0,9.0,13,Truck Driver,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",3.0,78.0,FL
Completed,0.2187,3.0,6.0,1,Professional,Employed,False,0.0,0.0,1.0,"$100,000+",1.0,19.0,NY
Current,0.1199,6.0,8.0,1,Retail Management,Employed,True,0.0,0.0,24.0,"$100,000+",1.0,11.0,NY
Current,0.1174,5.0,7.0,1,Medical Technician,Employed,True,0.0,0.0,11.0,"$50,000-74,999",1.0,11.0,TN
Current,0.251,3.0,3.0,1,Retail Management,Employed,True,2.0,3893.0,0.0,"$50,000-74,999",1.0,9.0,VA
Current,0.2816,2.0,5.0,2,Professional,Employed,True,0.0,0.0,3.0,"$50,000-74,999",2.0,25.0,WI
Current,0.0999,6.0,10.0,2,Construction,Self-employed,True,0.0,0.0,0.0,"$100,000+",1.0,11.0,LA
Current,0.2374,2.0,4.0,1,Retail Management,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,17.0,OH
Completed,0.3025,1.0,4.0,7,Professional,Employed,False,0.0,0.0,0.0,"$75,000-99,999",3.0,30.0,TX
Chargedoff,0.2187,3.0,3.0,13,Administrative Assistant,Full-time,False,0.0,0.0,0.0,"$1-24,999",3.0,46.0,NJ
Current,0.2125,3.0,8.0,3,Accountant/CPA,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,30.0,UT
Current,0.2599,3.0,5.0,2,Clerical,Full-time,True,0.0,0.0,0.0,"$25,000-49,999",2.0,32.0,AK
Completed,0.0729,6.0,9.0,6,Accountant/CPA,Employed,False,0.0,0.0,9.0,"$50,000-74,999",2.0,11.0,VA
Current,0.1039,6.0,10.0,2,Investor,Self-employed,False,0.0,0.0,0.0,"$100,000+",1.0,28.0,CA
Past Due (31-60 days),0.1029,6.0,8.0,1,Sales - Commission,Full-time,True,0.0,0.0,0.0,"$100,000+",3.0,34.0,TN
Completed,0.061,7.0,10.0,6,Other,Full-time,False,0.0,0.0,0.0,"$25,000-49,999",1.0,11.0,MT
Current,0.2109,4.0,4.0,1,Sales - Commission,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,23.0,SC
Past Due (1-15 days),0.1924,4.0,4.0,1,Other,Employed,False,0.0,0.0,15.0,"$25,000-49,999",2.0,22.0,IL
Current,0.2454,2.0,4.0,1,Other,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,14.0,WY
Current,0.0616,7.0,10.0,1,Executive,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,4.0,IN
Current,0.0709,7.0,11.0,1,Sales - Retail,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,6.0,SC
Current,0.1119,6.0,8.0,1,Other,Employed,True,0.0,0.0,0.0,"$25,000-49,999",1.0,12.0,GA
Current,0.1335,5.0,8.0,1,Computer Programmer,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,11.0,MS
Current,0.2529,2.0,4.0,7,Professional,Employed,True,0.0,0.0,24.0,"$100,000+",1.0,13.0,CA
Completed,0.2298,4.0,2.0,1,Other,Employed,True,1.0,353.0,0.0,"$75,000-99,999",1.0,10.0,VA
Completed,0.2099,3.0,6.0,6,Engineer - Mechanical,Employed,True,0.0,0.0,0.0,"$50,000-74,999",2.0,52.0,IN
Current,0.1234,6.0,8.0,13,Teacher,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",4.0,105.0,GA
Current,0.1669,5.0,6.0,1,Clerical,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,13.0,PA
Current,0.1229,6.0,9.0,1,Other,Employed,True,0.0,0.0,0.0,"$50,000-74,999",1.0,35.0,NV
Current,0.0669,7.0,11.0,1,Other,Employed,True,0.0,0.0,0.0,"$75,000-99,999",2.0,17.0,CA
Completed,0.2997,2.0,4.0,1,Other,Employed,False,0.0,0.0,4.0,"$1-24,999",3.0,46.0,MN
Past Due (1-15 days),0.2762,2.0,6.0,15,Police Officer/Correction Officer,Employed,False,17.0,1845.0,36.0,"$75,000-99,999",1.0,7.0,GA
Completed,0.2965,4.0,8.0,1,Chemist,Full-time,True,0.0,0.0,0.0,"$75,000-99,999",1.0,22.0,OH
Completed,0.1285,5.0,8.0,6,Laborer,Part-time,False,0.0,0.0,0.0,"$1-24,999",1.0,1.0,NE
Current,0.1319,5.0,7.0,2,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,7.0,MI
Completed,0.3295,2.0,9.0,7,Other,Retired,False,0.0,0.0,0.0,"$25,000-49,999",1.0,16.0,WA
Current,0.2899,2.0,1.0,20,Sales - Retail,Employed,False,5.0,626.0,29.0,"$25,000-49,999",1.0,35.0,VA
Current,0.173,5.0,7.0,1,Social Worker,Employed,True,0.0,0.0,14.0,"$1-24,999",2.0,34.0,GA
Current,0.1119,6.0,9.0,3,Analyst,Self-employed,False,0.0,0.0,0.0,"$100,000+",1.0,34.0,TX
Completed,0.2525,3.0,7.0,7,Tradesman - Carpenter,Full-time,True,1.0,0.0,6.0,"$50,000-74,999",1.0,26.0,WA
Completed,0.0829,6.0,8.0,3,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,1.0,CA
Current,0.1214,5.0,10.0,1,Executive,Employed,False,0.0,0.0,0.0,"$75,000-99,999",1.0,13.0,CA
Current,0.101,6.0,8.0,1,Attorney,Full-time,True,2.0,0.0,3.0,"$100,000+",1.0,15.0,GA
Current,0.125,5.0,10.0,7,Professional,Employed,True,0.0,0.0,1.0,"$100,000+",1.0,6.0,GA
Current,0.156,4.0,7.0,1,Professional,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,19.0,TX
FinalPaymentInProgress,0.2246,3.0,2.0,19,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,8.0,CA
Completed,0.3295,3.0,6.0,1,Clerical,Full-time,True,0.0,0.0,0.0,"$50,000-74,999",3.0,57.0,MO
Current,0.089,6.0,9.0,1,Construction,Self-employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,35.0,DE
Current,0.1695,4.0,6.0,15,Realtor,Self-employed,False,0.0,0.0,3.0,"$50,000-74,999",3.0,56.0,NV
Past Due (1-15 days),0.2599,3.0,5.0,1,Analyst,Employed,True,0.0,0.0,1.0,"$50,000-74,999",1.0,20.0,GA
Current,0.1719,5.0,5.0,2,Sales - Commission,Self-employed,False,2.0,1918.0,0.0,"$50,000-74,999",2.0,18.0,CT
Completed,0.3,1.0,5.0,7,Retail Management,Full-time,False,1.0,134.0,6.0,"$50,000-74,999",1.0,36.0,IN
Completed,0.173,5.0,6.0,1,Other,Employed,False,0.0,0.0,0.0,"$25,000-49,999",1.0,10.0,FL
Chargedoff,0.2299,3.0,4.0,1,Professional,Employed,False,2.0,60.0,0.0,"$75,000-99,999",1.0,5.0,IL
Completed,0.329,1.0,1.0,3,Accountant/CPA,Self-employed,False,2.0,297.0,15.0,"$50,000-74,999",1.0,2.0,FL
Completed,0.1204,4.0,5.0,7,Other,Employed,False,0.0,0.0,19.0,"$25,000-49,999",1.0,9.0,AL
Completed,0.2973,2.0,1.0,7,Other,Self-employed,True,1.0,41020.0,6.0,"$75,000-99,999",1.0,6.0,WV
Current,0.089,6.0,10.0,1,Pharmacist,Employed,True,0.0,0.0,0.0,"$100,000+",1.0,6.0,NM
Current,0.1089,6.0,8.0,1,Executive,Employed,True,0.0,0.0,0.0,"$100,000+",2.0,19.0,VA
